Common name,Token number
acid,1
Histidine,0
Ademetionine,0
Pyruvic,0
Phenylalanine,0
Biotin,0
Choline,0
Lysine,0
Arginine,0
Ascorbic,0
Spermine,0
Aspartic,0
Ornithine,0
L-Glutamine,0
Adenosine,0
alpha-Linolenic,0
Serine,0
Methionine,0
Tyrosine,0
Calcitriol,0
Lutein,0
Cystine,0
Succinic,0
Riboflavin,0
N-Acetylglucosamine,0
Glutamic,0
Glutathione,0
Phosphatidyl,0
serine,1
Glycine,0
Calcifediol,0
Creatine,0
Leucine,0
Tryptophan,0
Cysteine,0
Thiamine,0
Ergocalciferol,0
Dihomo-gamma-linolenic,0
Citrulline,0
Threonine,0
NADH,0
Folic,0
Icosapent,0
Alanine,0
Valine,0
Vitamin,0
A,1
E,1
Pyridoxine,0
Lipoic,0
Isoleucine,0
Aspartame,0
Cholecalciferol,0
Menadione,0
ATP,0
Proline,0
Adenine,0
Asparagine,0
Pravastatin,0
Fluvoxamine,0
Valsartan,0
Ramipril,0
Masoprocol,0
Flunisolide,0
Baclofen,0
Amphetamine,0
Pentagastrin,0
Nicotine,0
Cevimeline,0
Lorazepam,0
Esmolol,0
Bortezomib,0
Ethchlorvynol,0
Carbidopa,0
Phentermine,0
Indecainide,0
Tramadol,0
Vidarabine,0
Betaxolol,0
Fluconazole,0
Troglitazone,0
Oseltamivir,0
Erythromycin,0
Hydroxocobalamin,0
Caffeine,0
Succinylcholine,0
Sildenafil,0
Dofetilide,0
Pyrimethamine,0
Reserpine,0
Azithromycin,0
Ticlopidine,0
Trospium,0
Adapalene,0
Midodrine,0
Remikiren,0
Pantoprazole,0
Torasemide,0
Citalopram,0
Eletriptan,0
Bethanidine,0
Moxifloxacin,0
Oxyphenonium,0
Nelfinavir,0
Isoetharine,0
Glimepiride,0
Diflorasone,0
Indinavir,0
Gadodiamide,0
Guanadrel,0
Lovastatin,0
Enflurane,0
Cefotiam,0
Pregabalin,0
Temazepam,0
Methyclothiazide,0
Aminosalicylic,0
Reboxetine,0
Milrinone,0
Pipobroman,0
Butabarbital,0
Nevirapine,0
Oxiconazole,0
Alclometasone,0
Butalbital,0
Cladribine,0
Ranolazine,0
Mesalazine,0
Benzatropine,0
Ziprasidone,0
Methysergide,0
Cabergoline,0
Idoxuridine,0
Dapsone,0
Terconazole,0
Phenytoin,0
Medrysone,0
Doxycycline,0
Diethylstilbestrol,0
Lymecycline,0
Clotrimazole,0
Calcium,0
acetate,1
Sulfanilamide,0
Cycloserine,0
Anagrelide,0
Carmustine,0
Sulfisoxazole,0
Metoprolol,0
Crotamiton,0
Dicoumarol,0
Cefmenoxime,0
Ropinirole,0
Chlorotrianisene,0
Isradipine,0
Diatrizoate,0
Betazole,0
Topiramate,0
Cefmetazole,0
Olmesartan,0
Amsacrine,0
Theophylline,0
Argatroban,0
Liothyronine,0
Disopyramide,0
Lidocaine,0
Pamidronic,0
Clemastine,0
Acarbose,0
Venlafaxine,0
Conjugated,0
estrogens,1
Travoprost,0
Amcinonide,0
Atomoxetine,0
Bleomycin,0
Chlorambucil,0
Etomidate,0
Raltitrexed,0
Etonogestrel,0
Morphine,0
Ropivacaine,0
Bupivacaine,0
Dapiprazole,0
Penciclovir,0
Tenofovir,0
disoproxil,1
Flucloxacillin,0
Tranexamic,0
Ertapenem,0
Desogestrel,0
Mitomycin,0
Talbutal,0
Bexarotene,0
Ibutilide,0
Vindesine,0
Chlorthalidone,0
Ethoxzolamide,0
Pentobarbital,0
Valproic,0
Capreomycin,0
Zolmitriptan,0
Acetaminophen,0
Gefitinib,0
Codeine,0
Piperacillin,0
Dihydroergotamine,0
Amitriptyline,0
Floxuridine,0
Tolcapone,0
Fluorometholone,0
Nitroprusside,0
glucoheptonate,1
Hydromorphone,0
Indomethacin,0
Ethambutol,0
Metformin,0
Ipratropium,0
Methadone,0
Olanzapine,0
Atenolol,0
Nitrofural,0
Pimecrolimus,0
Omeprazole,0
Pyrazinamide,0
Metixene,0
Cetirizine,0
Terfenadine,0
Diltiazem,0
Protriptyline,0
Aminohippuric,0
Alfuzosin,0
Trimethadione,0
Nitisinone,0
Clobazam,0
Minoxidil,0
Megestrol,0
Tioguanine,0
Methylergometrine,0
Buclizine,0
Aztreonam,0
Chlorzoxazone,0
Aminoglutethimide,0
Mefloquine,0
Sulfadiazine,0
Sapropterin,0
Vinorelbine,0
Anidulafungin,0
Clozapine,0
Sucralfate,0
Grepafloxacin,0
Doxylamine,0
Levonorgestrel,0
Norepinephrine,0
Cidofovir,0
Mirtazapine,0
Meprobamate,0
Thiethylperazine,0
Timolol,0
Treprostinil,0
Colestipol,0
Trihexyphenidyl,0
Palonosetron,0
Dydrogesterone,0
Mexiletine,0
Dexrazoxane,0
Amlodipine,0
Tacrine,0
Oxyphencyclimine,0
Triamterene,0
Valrubicin,0
Procyclidine,0
Phenylephrine,0
Carbimazole,0
Sulpiride,0
Profenamine,0
Nimodipine,0
Beclomethasone,0
dipropionate,1
Carisoprodol,0
Progesterone,0
Phenylpropanolamine,0
Sorafenib,0
Zoledronic,0
Griseofulvin,0
Nisoldipine,0
Eszopiclone,0
Ceruletide,0
Alprazolam,0
Dexbrompheniramine,0
Gentian,0
violet,1
cation,2
Ardeparin,0
Loxapine,0
Remoxipride,0
Mupirocin,0
Carbamoylcholine,0
Rosiglitazone,0
Pramipexole,0
Acetohexamide,0
Ampicillin,0
Metocurine,0
iodide,1
Phenoxymethylpenicillin,0
Secobarbital,0
Miglustat,0
Promazine,0
Spironolactone,0
Methylphenidate,0
Methocarbamol,0
Hyoscyamine,0
Zolpidem,0
Famciclovir,0
Triprolidine,0
Streptozocin,0
Carboprost,0
tromethamine,1
Cefpiramide,0
Lindane,0
Trifluridine,0
Prochlorperazine,0
Cyproheptadine,0
Nitric,0
Oxide,1
Bendroflumethiazide,0
Allopurinol,0
Ceftazidime,0
Cerivastatin,0
Trimethoprim,0
Gemcitabine,0
Entecavir,0
Betamethasone,0
Teniposide,0
Epirubicin,0
Chloramphenicol,0
Loracarbef,0
Lansoprazole,0
Dipivefrin,0
Droperidol,0
Levothyroxine,0
Framycetin,0
Clomocycline,0
Meperidine,0
Loratadine,0
Cefalotin,0
Prazosin,0
Imipramine,0
Acitretin,0
Verteporfin,0
Nabumetone,0
Methscopolamine,0
bromide,1
Metharbital,0
Sodium,0
tetradecyl,1
sulfate,2
Ketorolac,0
Picrotoxin,0
Enoxacin,0
Quinine,0
Tenoxicam,0
Dronabinol,0
Montelukast,0
Fluoxetine,0
Hexylcaine,0
Methohexital,0
Chlordiazepoxide,0
Duloxetine,0
Chlorpromazine,0
Rimantadine,0
Amikacin,0
Lenalidomide,0
Raloxifene,0
Celecoxib,0
Gallamine,0
triethiodide,1
Brimonidine,0
Dicloxacillin,0
Nabilone,0
Pefloxacin,0
Altretamine,0
Sotalol,0
Buspirone,0
Miglitol,0
Fosinopril,0
Cefotaxime,0
Entacapone,0
Zidovudine,0
Darifenacin,0
Oxycodone,0
Phenindione,0
Flutamide,0
Tolmetin,0
Cimetidine,0
Haloperidol,0
Ritonavir,0
Levallorphan,0
Tridihexethyl,0
Nitazoxanide,0
Triflupromazine,0
Dextrothyroxine,0
Acetyldigitoxin,0
Vancomycin,0
Aminocaproic,0
Dextromethorphan,0
Cisplatin,0
Bentoquatam,0
Anisotropine,0
methylbromide,1
Albendazole,0
Trandolapril,0
Caspofungin,0
Carteolol,0
Bentiromide,0
Alitretinoin,0
Metolazone,0
Tolnaftate,0
Oxaliplatin,0
Cinchocaine,0
Lercanidipine,0
Foscarnet,0
Erlotinib,0
Cyclophosphamide,0
Mephenytoin,0
Rofecoxib,0
Chlormerodrin,0
Cefdinir,0
Guanidine,0
Ciprofloxacin,0
Gadoversetamide,0
Toremifene,0
Nortriptyline,0
Vincristine,0
Benazepril,0
Amoxapine,0
Fluorouracil,0
Pyridostigmine,0
Adinazolam,0
Desoximetasone,0
Azelaic,0
Zafirlukast,0
Propylthiouracil,0
Acetohydroxamic,0
Pentostatin,0
Methoxsalen,0
Piroxicam,0
Lamotrigine,0
Perflutren,0
Hydroxyzine,0
Zanamivir,0
Bosentan,0
Tigecycline,0
Doxapram,0
Benzthiazide,0
Methotrexate,0
Carbamazepine,0
Cisatracurium,0
Succimer,0
Cephalexin,0
Cinnarizine,0
Fondaparinux,0
Vinblastine,0
Propranolol,0
Atropine,0
Fenoprofen,0
Fenfluramine,0
Clonidine,0
Sulfamethizole,0
Valaciclovir,0
Carbenicillin,0
Mazindol,0
Valdecoxib,0
Lactulose,0
Voriconazole,0
Levocarnitine,0
Enalapril,0
Nizatidine,0
Diclofenac,0
Cinalukast,0
Fluticasone,0
propionate,1
Lisuride,0
Doxazosin,0
Fluocinolone,0
acetonide,1
Piperazine,0
Ethosuximide,0
Amiloride,0
Oxytetracycline,0
Ulobetasol,0
Gadoteridol,0
Labetalol,0
Thiopental,0
Monobenzone,0
Linezolid,0
Ivermectin,0
Medroxyprogesterone,0
Cisapride,0
Sulindac,0
Cyclothiazide,0
Nafcillin,0
Chloroquine,0
Ethionamide,0
Metaraminol,0
Butorphanol,0
Bisoprolol,0
Amodiaquine,0
Furazolidone,0
Rifabutin,0
Candoxatril,0
Paramethadione,0
Demeclocycline,0
Imatinib,0
Triamcinolone,0
Oxandrolone,0
Nicardipine,0
Fluphenazine,0
Testosterone,0
Efavirenz,0
Bacitracin,0
Niacin,0
Clorazepic,0
Guanabenz,0
Alendronic,0
Clofarabine,0
Docosanol,0
Dexmedetomidine,0
Sulfacetamide,0
Prednisone,0
Clofibrate,0
Astemizole,0
Inulin,0
Butoconazole,0
Simvastatin,0
Pemetrexed,0
Mebendazole,0
Gonadorelin,0
Dyclonine,0
Nystatin,0
Dextropropoxyphene,0
Mitotane,0
Stavudine,0
Leucovorin,0
Dyphylline,0
Pentazocine,0
Magnesium,0
sulfate,1
Latanoprost,0
Estrone,0
Trazodone,0
Mecamylamine,0
Sevelamer,0
Acamprosate,0
Metaxalone,0
Verapamil,0
Trimethobenzamide,0
Flumethasone,0
Sulfametopyrazine,0
Nilutamide,0
Nafarelin,0
Epinephrine,0
Sumatriptan,0
Pirenzepine,0
Cefixime,0
Chlorpropamide,0
Aprepitant,0
Galantamine,0
Tamoxifen,0
Benzyl,0
benzoate,1
Isoflurophate,0
Losartan,0
Thioridazine,0
Moricizine,0
Amphotericin,0
B,1
Warfarin,0
Midazolam,0
Tobramycin,0
Trovafloxacin,0
Pentosan,0
polysulfate,1
Fludrocortisone,0
Mycophenolate,0
mofetil,1
Cephaloglycin,0
Flurazepam,0
Moexipril,0
Phentolamine,0
Fluorescein,0
Daunorubicin,0
Furosemide,0
Ergotamine,0
Tizanidine,0
Nitrofurantoin,0
Nicergoline,0
Eplerenone,0
Amprenavir,0
Icodextrin,0
Methazolamide,0
Naltrexone,0
Delavirdine,0
Tamsulosin,0
Porfimer,0
sodium,1
Sufentanil,0
Lamivudine,0
Ibandronate,0
Diethylcarbamazine,0
Flurbiprofen,0
Oxacillin,0
Apomorphine,0
Paroxetine,0
Nedocromil,0
Norethisterone,0
Adefovir,0
dipivoxil,1
Azatadine,0
Clodronic,0
Procaine,0
Lisinopril,0
Methoxamine,0
Imiquimod,0
Homatropine,0
Trimipramine,0
Nitroglycerin,0
Rocuronium,0
Thiabendazole,0
Nateglinide,0
Atracurium,0
besylate,1
Pralidoxime,0
Risperidone,0
Naftifine,0
Esomeprazole,0
Meclizine,0
Pentamidine,0
Hetacillin,0
Riluzole,0
Hydrocortisone,0
Mannitol,0
Gadobenic,0
Zileuton,0
Modafinil,0
Deferoxamine,0
Scopolamine,0
Carbinoxamine,0
Etodolac,0
Prilocaine,0
Epinastine,0
Tranylcypromine,0
Isoflurane,0
Ethotoin,0
Tretinoin,0
Hexachlorophene,0
Dolasetron,0
Clopidogrel,0
Tetracycline,0
Meropenem,0
Potassium,0
chloride,1
Irinotecan,0
Methimazole,0
Mometasone,0
Metyrosine,0
Clavulanic,0
Benzquinamide,0
Olopatadine,0
Hydrocortamate,0
Alprostadil,0
Clidinium,0
Malathion,0
Etoposide,0
Hydroflumethiazide,0
Tirofiban,0
Oxcarbazepine,0
Propiomazine,0
Roxithromycin,0
Nalidixic,0
Phenelzine,0
Propantheline,0
Estradiol,0
Mefenamic,0
Cryptenamine,0
Marimastat,0
Acyclovir,0
Naproxen,0
Gadopentetic,0
Perindopril,0
Uracil,0
mustard,1
Tripelennamine,0
Haloprogin,0
Primidone,0
Sulfasalazine,0
Candesartan,0
cilexetil,1
Tolazoline,0
Gentamicin,0
Tazarotene,0
Fenoldopam,0
Halazepam,0
Alfentanil,0
Colistin,0
Dicyclomine,0
Minaprine,0
Pentoxifylline,0
Proparacaine,0
Indapamide,0
Tropicamide,0
Biperiden,0
Ribavirin,0
Phenylbutazone,0
Fentanyl,0
Meloxicam,0
lauryl,1
Orciprenaline,0
Rosoxacin,0
Propofol,0
Acetazolamide,0
Tadalafil,0
Carprofen,0
Disulfiram,0
Ethynodiol,0
diacetate,1
Enprofylline,0
Levomenthol,0
Natamycin,0
Cinoxacin,0
Fosfomycin,0
Diazepam,0
Phenmetrazine,0
Trifluoperazine,0
Phensuximide,0
Cefaclor,0
Mifepristone,0
Brompheniramine,0
Loperamide,0
Progabide,0
Clocortolone,0
Tolazamide,0
Hydroxypropyl,0
cellulose,1
Dobutamine,0
Oxazepam,0
Donepezil,0
Nalbuphine,0
Clofazimine,0
Flurandrenolide,0
Cysteamine,0
Levamisole,0
Methylphenobarbital,0
Perphenazine,0
Dacarbazine,0
Pseudoephedrine,0
Temozolomide,0
Levorphanol,0
Aminolevulinic,0
Chlorphenesin,0
Terbinafine,0
Drostanolone,0
Penicillamine,0
Prednisolone,0
Diflunisal,0
Vardenafil,0
Ranitidine,0
Tacrolimus,0
Benzphetamine,0
Alprenolol,0
Ritodrine,0
Benzonatate,0
Dorzolamide,0
Suprofen,0
Terbutaline,0
Conivaptan,0
Loteprednol,0
etabonate,1
Guaifenesin,0
Flupentixol,0
Eprosartan,0
Sirolimus,0
Chlorhexidine,0
Emtricitabine,0
Chlorothiazide,0
Quinapril,0
Clomifene,0
Isosorbide,0
dinitrate,1
Risedronic,0
Pemirolast,0
Omapatrilat,0
Bumetanide,0
Mechlorethamine,0
Granisetron,0
Dienestrol,0
Sulfapyridine,0
Oxybuprocaine,0
Iron,0
Dextran,1
Testolactone,0
Benzylpenicilloyl,0
polylysine,1
Rimexolone,0
Triazolam,0
Ethanol,0
Remifentanil,0
Didanosine,0
Bitolterol,0
Methdilazine,0
Etacrynic,0
Ondansetron,0
Bimatoprost,0
Tiagabine,0
Cocaine,0
Quinidine,0
Zonisamide,0
Paricalcitol,0
Tinidazole,0
Repaglinide,0
Anileridine,0
Phenformin,0
Amantadine,0
Metronidazole,0
Dinoprostone,0
Almotriptan,0
Spectinomycin,0
Ketotifen,0
Buprenorphine,0
Levosimendan,0
Ceforanide,0
Cyclobenzaprine,0
Phenoxybenzamine,0
Etretinate,0
Famotidine,0
Azacitidine,0
Misoprostol,0
Colesevelam,0
Metacycline,0
Tipranavir,0
Mesoridazine,0
Maprotiline,0
Oxymetazoline,0
Salicylic,0
Diethylpropion,0
Salmeterol,0
Meclofenamic,0
Methantheline,0
Hexafluronium,0
Cycrimine,0
Zalcitabine,0
Demecarium,0
Acetylsalicylic,0
Phenprocoumon,0
Fulvestrant,0
Mezlocillin,0
Felbamate,0
Fexofenadine,0
Isoniazid,0
Naratriptan,0
Rizatriptan,0
Dirithromycin,0
Netilmicin,0
Hydrocodone,0
Norgestimate,0
Carboplatin,0
Methylprednisolone,0
Pindolol,0
Mepivacaine,0
Zaleplon,0
Bromfenac,0
Apraclonidine,0
Ethiodized,0
oil,1
Telmisartan,0
Desloratadine,0
Methyldopa,0
Alosetron,0
Dactinomycin,0
Selenium,0
Sulfide,1
Azelastine,0
Ezetimibe,0
Edetic,0
Dipyridamole,0
Telithromycin,0
Ethinylestradiol,0
Lomefloxacin,0
Cyclopentolate,0
Ramelteon,0
Physostigmine,0
Isotretinoin,0
Formoterol,0
Nandrolone,0
phenpropionate,1
Dimenhydrinate,0
Glycopyrronium,0
Cytarabine,0
Dopamine,0
Rivastigmine,0
Exemestane,0
Oxaprozin,0
Methyl,0
aminolevulinate,1
Azathioprine,0
Neomycin,0
Auranofin,0
Gabapentin,0
Doxorubicin,0
Frovatriptan,0
Hydrochlorothiazide,0
Cyclacillin,0
Salbutamol,0
Levobupivacaine,0
Cromoglicic,0
Ganciclovir,0
Hydroxyurea,0
Letrozole,0
Tioconazole,0
Busulfan,0
Ketoprofen,0
Edrophonium,0
Metyrapone,0
Cinacalcet,0
Clobetasol,0
Balsalazide,0
Sulfamethoxazole,0
Glyburide,0
Minocycline,0
Guanfacine,0
Bethanechol,0
mononitrate,1
Trichlormethiazide,0
Phylloquinone,0
Felodipine,0
Mycophenolic,0
Amlexanox,0
Ketoconazole,0
Methoxyflurane,0
Irbesartan,0
Topotecan,0
Ethinamate,0
Probenecid,0
Mercaptopurine,0
Cerulenin,0
Procainamide,0
Tolterodine,0
Selegiline,0
Carphenazine,0
Fenofibrate,0
Thalidomide,0
Melphalan,0
Memantine,0
Gatifloxacin,0
Rifampicin,0
Lubiprostone,0
Fluocinonide,0
Abacavir,0
Ergoloid,0
mesylate,1
Ibuprofen,0
Novobiocin,0
Benzylpenicillin,0
Nitrendipine,0
Mimosine,0
Tocainide,0
Echothiophate,0
Praziquantel,0
Norfloxacin,0
Amoxicillin,0
Azlocillin,0
Oxybutynin,0
Acetophenazine,0
Isoprenaline,0
Melatonin,0
Cefditoren,0
Glipizide,0
Clonazepam,0
Promethazine,0
Dihydrotachysterol,0
Mequitazine,0
Atazanavir,0
Fludarabine,0
Perhexiline,0
Diphenhydramine,0
Atorvastatin,0
Etidronic,0
Deslanoside,0
Tegaserod,0
Vigabatrin,0
Diphenoxylate,0
Streptomycin,0
Orlistat,0
Emedastine,0
Pilocarpine,0
Benzocaine,0
Primaquine,0
Iloprost,0
Deserpidine,0
Pentolinium,0
Butenafine,0
Ouabain,0
Dimethyl,0
sulfoxide,1
Hesperetin,0
Fluvastatin,0
Oxamniquine,0
Leflunomide,0
Rosuvastatin,0
Flucytosine,0
Pimozide,0
Capecitabine,0
Arbutamine,0
Quinacrine,0
Sertraline,0
Sibutramine,0
Levocabastine,0
Methyprylon,0
Trilostane,0
Heparin,0
Miconazole,0
Colistimethate,0
Cefuroxime,0
Papaverine,0
Chlorpheniramine,0
Nifedipine,0
Trimethaphan,0
Atovaquone,0
Amiodarone,0
Diazoxide,0
Gliclazide,0
Phenacemide,0
Ambenonium,0
Proflavine,0
Tolbutamide,0
Anisindione,0
Dutasteride,0
Econazole,0
Bicalutamide,0
Rabeprazole,0
Prednicarbate,0
Proguanil,0
Pioglitazone,0
Tiludronic,0
Desoxycorticosterone,0
pivalate,1
Doxacurium,0
Carvedilol,0
Levofloxacin,0
Sulfinpyrazone,0
Cefapirin,0
Cefadroxil,0
Micafungin,0
Doxepin,0
Amifostine,0
Diclofenamide,0
Sulfoxone,0
Diphenylpyraline,0
Cloxacillin,0
Flavoxate,0
Nefazodone,0
Cefprozil,0
Desipramine,0
Candicidin,0
Sertaconazole,0
Thiamylal,0
Gemifloxacin,0
Bupropion,0
Trimetrexate,0
Bretylium,0
Halothane,0
Dinoprost,0
Chloroprocaine,0
Terazosin,0
Amdinocillin,0
Ofloxacin,0
Cilostazol,0
Itraconazole,0
Procarbazine,0
Arsenic,0
trioxide,1
Guanethidine,0
Moclobemide,0
Kanamycin,0
Orphenadrine,0
Phenobarbital,0
Escitalopram,0
Cyclizine,0
Idarubicin,0
Chlormezanone,0
Podofilox,0
Rescinnamine,0
Ifosfamide,0
Propafenone,0
Naloxone,0
Domperidone,0
Fluoxymesterone,0
Pergolide,0
Iophendylate,0
Ciclopirox,0
Desflurane,0
Clindamycin,0
Dexfenfluramine,0
Oxymorphone,0
Acebutolol,0
Brinzolamide,0
Flecainide,0
Estramustine,0
Captopril,0
Zopiclone,0
Tubocurarine,0
Bromocriptine,0
Rifapentine,0
Levetiracetam,0
Nadolol,0
Mitoxantrone,0
Flumazenil,0
Lomustine,0
Ridogrel,0
Sparfloxacin,0
Dezocine,0
Levobunolol,0
Clarithromycin,0
Ceftriaxone,0
Fomepizole,0
Metipranolol,0
Estazolam,0
Finasteride,0
Anastrozole,0
Halofantrine,0
Dantrolene,0
Rifaximin,0
Ketamine,0
Budesonide,0
Aminophylline,0
Quetiapine,0
Enoxaparin,0
Mivacurium,0
Levacetylmethadol,0
Encainide,0
Paclitaxel,0
Pemoline,0
Diphenidol,0
Saquinavir,0
Metoclopramide,0
Dexamethasone,0
Levodopa,0
Sevoflurane,0
Bromodiphenhydramine,0
Aripiprazole,0
Chlorprothixene,0
Epoprostenol,0
Gemfibrozil,0
Clomipramine,0
Chloroxine,0
Bepridil,0
Decamethonium,0
Alimemazine,0
Isocarboxazid,0
Docetaxel,0
Iodixanol,0
Olsalazine,0
Gliquidone,0
Mitiglinide,0
Ergometrine,0
Dasatinib,0
Lisdexamfetamine,0
Retapamulin,0
Eculizumab,0
Lapatinib,0
Desonide,0
Sitagliptin,0
Decitabine,0
Posaconazole,0
Darunavir,0
Telbivudine,0
Sinecatechins,0
Paliperidone,0
Sunitinib,0
Panitumumab,0
Ranibizumab,0
Idursulfase,0
Alglucosidase,0
Varenicline,0
Arformoterol,0
Hydralazine,0
Exenatide,0
Mecasermin,0
Pramlintide,0
Galsulfase,0
Nelarabine,0
Abatacept,0
Carbetocin,0
Lumiracoxib,0
Tetracosactide,0
Corticotropin,0
Fenoterol,0
Glisoxepide,0
Pirbuterol,0
Bismuth,0
subsalicylate,1
Bevantolol,0
Glucosamine,0
Practolol,0
Sulfacytine,0
Sulfadoxine,0
Rolitetracycline,0
Oxtriphylline,0
aspart,1
detemir,1
glulisine,1
Fosamprenavir,0
Fosphenytoin,0
Josamycin,0
Kava,0
St.,0
John,1
's,2
Wort,3
Polythiazide,0
Quinethazone,0
Cefamandole,0
Cefazolin,0
Cefonicid,0
Cefoperazone,0
Cefotetan,0
Cefoxitin,0
Ceftizoxime,0
Cefradine,0
Pancuronium,0
Pipecuronium,0
Vecuronium,0
Cilazapril,0
Dihydroquinidine,0
barbiturate,1
Forasartan,0
Tolevamer,0
cation,1
Saprisartan,0
Spirapril,0
Tasosartan,0
Amobarbital,0
Aprobarbital,0
Butobarbital,0
Heptabarbital,0
Hexobarbital,0
Lithium,0
Mestranol,0
Penbutolol,0
Iohexol,0
Ephedra,0
sinica,1
root,2
Ephedrine,0
Mephentermine,0
Procaterol,0
Rasagiline,0
Quinupristin,0
Aluminium,0
monostearate,1
oxide,1
Cortisone,0
Ginkgo,0
biloba,1
Glymidine,0
Paramethasone,0
Mibefradil,0
bicarbonate,1
Yohimbine,0
Bezafibrate,0
Colchicine,0
Drospirenone,0
Digitoxin,0
salicylate,1
Salsalate,0
Neostigmine,0
magnesium,1
trisalicylate,2
Methotrimeprazine,0
Ginseng,0
Temafloxacin,0
Danazol,0
Clenbuterol,0
Bambuterol,0
Tiotropium,0
Ciclesonide,0
Pranlukast,0
Theobromine,0
Cefepime,0
Cefacetrile,0
Ceftibuten,0
Cefpodoxime,0
Acenocoumarol,0
Antrafenine,0
Paromomycin,0
Nitroxoline,0
Stepronin,0
Aminophenazone,0
Alizapride,0
Ajmaline,0
Amrinone,0
Oxybenzone,0
Aprindine,0
Almitrine,0
Allylestrenol,0
Cholestyramine,0
Methadyl,0
19-norandrostenedione,0
Antipyrine,0
Alfacalcidol,0
Glutethimide,0
Phenazopyridine,0
3-Methylthiofentanyl,0
gamma-Hydroxybutyric,0
5-Methoxy-N,0
",",1
N-diisopropyltryptamine,2
MMDA,0
19-Nor-5-androstenedione,0
Dimethylthiambutene,0
Bufotenine,0
Indopan,0
4-Methylaminorex,0
19-Nor-4-androstenedione,0
Dihydroetorphine,0
1-Androstenedione,0
Diamorphine,0
Beta-hydroxyfentanyl,0
Midomafetamine,0
19-Nor-5-androstenediol,0
5-androstenedione,0
"2,5-Dimethoxy-4-",0
n,2
-propylthiophenethylamine,4
Bezitramide,0
Diethyltryptamine,0
Dimenoxadol,0
Etonitazene,0
Fencamfamin,0
Furethidine,0
"2,5-Dimethoxyamphetamine",0
Ethylmorphine,0
"2,5-Dimethoxy-4-ethylamphetamine",0
Ethylmethylthiambutene,0
Acetorphine,0
alpha-methylthiofentanyl,0
Bolasterone,0
4-Methoxyamphetamine,0
Betaprodine,0
"17alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene",0
Dioxaphetyl,0
butyrate,1
Haloxazolam,0
Desmethylprodine,0
BA-2664,0
Cyprenorphine,0
1-Testosterone,0
Fenethylline,0
Barbital,0
"4-Bromo-2,5-dimethoxyamphetamine",0
4-Hydroxytestosterone,0
Cathine,0
Embutramide,0
Dimethyltryptamine,0
Camazepam,0
Aminorex,0
Dipipanone,0
Ethylestrenol,0
Chloral,0
betaine,1
Dichloralphenazone,0
Dihydro-2-thioxo-5-,0
5-,3
(,4
2-,5
(,6
trifluoromethyl,7
),8
phenyl,9
),10
-2-furanyl,11
),12
methyl,13
),14
"-4,6",15
(,16
"1H,5H",17
),18
-pyrimidinedione,19
Etorphine,0
Alphamethadol,0
